Time (Gyr),Hubble Parameter in Voids,Hubble Parameter in Clusters,Total Cosmic Expansion Energy,Energy Difference (Chaotic Sensitivity)
10.92184368737475,72.8615869595212,72.8615869595212,10617.62170851974,6.550944272021297e-05
11.022044088176353,72.82062886171262,72.82062886171262,10605.687975630586,6.364757791743614e-05
11.122244488977957,72.77853802368821,72.77853802368821,10593.431193730863,6.176218812470324e-05
11.22244488977956,72.7353313487654,72.7353313487654,10580.856852829389,5.985630014038179e-05
11.322645290581162,72.69102618837205,72.69102618837205,10567.970576637183,5.793297532363795e-05
11.422845691382767,72.64564033507834,72.64564033507834,10554.778119387121,5.599530595645774e-05
11.52304609218437,72.59919201545141,72.59919201545141,10541.285362592767,5.4046391596784815e-05
11.623246492985972,72.55169988273563,72.55169988273563,10527.498311749083,5.2089380915276706e-05
11.723446893787575,72.50318300936183,72.50318300936183,10513.42309297803,5.01273952977499e-05
11.823647294589179,72.45366087928771,72.45366087928771,10499.065949621652,4.816361433768179e-05
11.923847695390782,72.40315338017349,72.40315338017349,10484.433238785856,4.6201172153814696e-05
12.024048096192384,72.35168079539507,72.35168079539507,10469.531427837479,4.4243221054784954e-05
12.124248496993989,72.29926379589838,72.29926379589838,10454.367090857806,4.229291334922891e-05
12.224448897795591,72.24592343189823,72.24592343189823,10438.946905055405,4.0353375879931264e-05
12.324649298597194,72.19168112442458,72.19168112442458,10423.2776471412,3.842772639472969e-05
12.424849699398798,72.13655865672014,72.13655865672014,10407.36618966885,3.651906445156783e-05
12.525050100200401,72.08057816549235,72.08057816549235,10391.219497343307,3.4630447771633044e-05
12.625250501002004,72.02376213202358,72.02376213202358,10374.844623300627,3.276490497228224e-05
12.725450901803608,71.96613337314261,71.96613337314261,10358.2487053619,3.092544466198888e-05
12.82565130260521,71.90771503206186,71.90771503206186,10341.43896226443,2.9115013603586704e-05
12.925851703406813,71.8485305690831,71.8485305690831,10324.422689872936,2.733652036113199e-05
13.026052104208418,71.78860375217602,71.78860375217602,10307.20725737388,2.5592828023945913e-05
13.12625250501002,71.72795864743328,71.7279586474333,10289.8001034558,2.388672874076292e-05
13.226452905811623,71.66661960940576,71.66661960940576,10272.208732478524,2.222096372861415e-05
13.326653306613228,71.60461127132189,71.60461127132189,10254.440710634235,2.0598219634848647e-05
13.42685370741483,71.54195853519528,71.54195853519528,10236.503662103201,1.9021086700377055e-05
13.527054108216433,71.4786865618242,71.4786865618242,10218.405265207017,1.749211151036434e-05
13.627254509018037,71.4148207606873,71.4148207606873,10200.15324856219,1.601374606252648e-05
13.72745490981964,71.35038677973934,71.35038677973934,10181.755387236804,1.458835686207749e-05
13.827655310621243,71.28541049511111,71.28541049511111,10163.219498912993,1.3218243111623451e-05
13.927855711422847,71.21991800071794,71.21991800071794,10144.553440057975,1.1905602150363848e-05
14.02805611222445,71.15393559778057,71.15393559778057,10125.765102106212,1.0652538549038582e-05
14.128256513026052,71.08748978426274,71.08748978426274,10106.86240765532,9.461065928917378e-06
14.228456913827655,71.02060724422988,71.02060724422988,10087.853306678315,8.333112418767996e-06
14.32865731462926,70.95331483713306,70.95331483713306,10068.745772754653,7.270469723152928e-06
14.428857715430862,70.88563958702238,70.88563958702238,10049.547799322469,6.274860425037332e-06
14.529058116232465,70.81760867169446,70.81760867169446,10030.267395954508,5.3478670452022925e-06
14.629258517034069,70.7492494117779,70.7492494117779,10010.912584659909,4.4909975258633494e-06
14.729458917835672,70.68058925976173,70.68058925976173,9991.491396214291,3.705612471094355e-06
14.829659318637274,70.61165578897065,70.61165578897065,9972.011866520144,2.9929833544883877e-06
14.929859719438879,70.5424766824918,70.5424766824918,9952.482032999797,2.35424522543326e-06
15.030060120240481,70.47307972205748,70.47307972205748,9932.909931022938,1.7904349078889936e-06
15.130260521042084,70.4034927768883,70.4034927768883,9913.303590370726,1.302449163631536e-06
15.230460921843688,70.33374379250104,70.33374379250104,9893.671031738357,8.910828910302371e-07
15.330661322645291,70.26386077948612,70.26386077948612,9874.020263278017,5.569800123339519e-07
15.430861723446894,70.19387180225863,70.19387180225863,9854.359277183838,3.006880433531478e-07
15.531062124248498,70.12380496778796,70.12380496778796,9834.696046320727,1.2261989468242973e-07
15.6312625250501,70.05368841431036,70.05368841431036,9815.038520898563,2.306114765815437e-08
15.731462925851703,69.9835503000288,69.9835503000288,9795.394625193321,2.1591404220089316e-09
15.831663326653308,69.9134187918048,69.9134187918048,9775.77225431657,5.99684426560998e-08
15.93186372745491,69.84332205384703,69.84332205384703,9756.17927103479,1.963835529750213e-07
16.032064128256515,69.7732882364007,69.7732882364007,9736.623502639706,4.111843736609444e-07
16.132264529058116,69.70334546444268,69.70334546444268,9717.112737870882,7.04030753695406e-07
